ASSET_TYPE                                                NAME                                                                                                                                                                                                                            LOCATION
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/ba610f20-bd8a-4c39-8f9c-97d09cda3749                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/cacb98c1-efe1-40f9-92d1-abb8024b131e                                                                                                                           global
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/ssrheidlessvideosystem-00003-jek                                                                                                                  us-central1
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/plantune-00008-2l2                                                                                                                                us-central1
artifactregistry.googleapis.com/DockerImage               //artifactregistry.googleapis.com/projects/heidless-apps-2/locations/us-central1/repositories/cloud-run-source-deploy/dockerImages/plantune@sha256:fb80dd19aedcd3a97b25b8ce7f73b8df80c359653940b7454eab7a4952eec761             us-central1
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/plantune-00007-j47                                                                                                                                us-central1
artifactregistry.googleapis.com/DockerImage               //artifactregistry.googleapis.com/projects/heidless-apps-2/locations/us-central1/repositories/cloud-run-source-deploy/dockerImages/plantune@sha256:a1f875cde188625f2717ccdf7d7275a33eb913d7e7b759c4ad3252b5ce832259             us-central1
run.googleapis.com/Service                                //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/services/ssrheidlessvideosystem                                                                                                                             us-central1
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/ssrheidlessvideosystem-00001-viy                                                                                                                  us-central1
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/57ea98e9-7633-4e29-8862-68176fdf5ba7                                                                                                                           global
firebaserules.googleapis.com/Release                      //firebaserules.googleapis.com/projects/heidless-apps-2/releases/cloud.firestore/autoblog-db-0                                                                                                                                  global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/dad89a19-0bc9-4586-8b76-a6998b1a6394                                                                                                                           global
firestore.googleapis.com/Database                         //firestore.googleapis.com/projects/789026577646/databases/autoblog-db-0                                                                                                                                                        nam5
run.googleapis.com/Revision                               //run.googleapis.com/projects/heidless-apps-2/locations/us-central1/revisions/promptmaster-spa-00010-f5j                                                                                                                        us-central1
artifactregistry.googleapis.com/DockerImage               //artifactregistry.googleapis.com/projects/heidless-apps-2/locations/us-central1/repositories/cloud-run-source-deploy/dockerImages/promptmaster-spa@sha256:8d19f83e1817d381a3f65e2f6c031e2a4eb9de34712dfcacb59449a375c29f4c     us-central1
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/7e86e28f-fae6-422e-84b8-55a1cd9d1d00                                                                                                                           global
firebaserules.googleapis.com/Ruleset                      //firebaserules.googleapis.com/projects/heidless-apps-2/rulesets/389e159f-a6e0-441e-a48e-ebee78bbad73                                                                                                                           global
firebaserules.googleapis.com/Release                      //firebaserules.googleapis.com/projects/heidless-apps-2/releases/cloud.firestore/databases/plantune-db-0                                                                                                                        global
firebaserules.googleapis.com/Release                      //firebaserules.googleapis.com/projects/heidless-apps-2/releases/cloud.firestore/databases/promptmaster-spa-db-0                                                                                                                global
firebaserules.googleapis.com/Release                      //firebaserules.googleapis.com/projects/heidless-apps-2/releases/cloud.firestore/databases/suiteutils-db-0                                                                                                                      global
